"","MEcyan","MEturquoise","MElightcyan","MEyellow","MEgreenyellow","MEred","MEgrey60","MEsalmon","MEtan","MEblue","MElightgreen","MEpink","MEgreen","MEmidnightblue","MEbrown","MEmagenta","MEblack","MEpurple","MEgrey"
"GSM5570968",-0.00697401413253592,-0.030012868993971,0.026078686207285,-0.0469966910364897,-0.0394317246625124,-0.038183837070384,-0.0394328622766576,-0.014270140610633,-0.020112076325925,0.0604894638372595,0.0179898867221203,-0.000336370912948247,0.0360544167466626,0.0372306482969667,-0.0472434078435253,-0.00828197817637888,0.0684352009387852,-0.018511705291988,-0.0137743101221578
"GSM5570969",-0.0133669628015364,0.0126613068092906,-0.060302755055467,-0.044814880314456,-0.0544641068074593,0.0944105726532209,0.149593260194281,0.0798741498693297,0.122786764871198,-0.0533046288859158,-0.0571679673474097,0.044142561517525,0.000857800907265838,0.0236526605386486,0.0344223535861701,0.0305430203155962,0.00353923995701888,-0.0387617466743949,-0.0130065607816825
"GSM5570970",-0.0187542724394243,-0.0222781194440299,-0.0892984027283799,-0.0623810685361393,0.0490388982650302,0.146810622343683,0.0391209389278512,0.0993915159094431,0.0730713241438266,-0.0535133381701599,0.0175548287588524,0.0711403544033754,0.0385055292972163,0.0355382373045592,0.0662190105303466,0.0851717121942392,0.00534753239274183,0.0625000042183224,-0.0337944024328526
"GSM5570971",-0.00697260665084056,-0.0480627160941108,-0.0823151124250482,-0.034569345406075,0.285256587290606,-0.00333946142333949,0.0327831886593101,0.0324786804169983,0.104027490358645,0.0829636948521578,0.0193796004288519,0.0440182105369873,-0.0096036159621187,0.101577713467392,-0.0752813223992757,-0.0632713426888143,-0.0949571477984287,-0.0707630279668905,-0.00599652709408194
"GSM5570972",-0.0304883453778156,-0.0193036631603632,-0.0631281269246427,-0.0689747541881163,-0.0743864209828693,0.103433777062308,0.00432277243247078,0.0396773266807032,0.00363491225808338,-0.0405429403940115,-0.00455671159343123,0.0381890686853563,0.0339592277137832,-0.0310433664157437,0.0837233623863197,0.0828397641077739,0.0624710498564733,0.148359211874477,-0.0511874146544263
"GSM5570973",-0.00943666316233301,-0.0612115214218159,0.00943370464104801,-0.059645792166047,0.00283134640719689,-0.0404971293414066,-0.0571742458767609,-0.0226894079687153,-0.0443881966196623,0.088651250985738,0.030196826848515,0.0365318701737283,0.0758116709251098,0.0704382938314822,-0.0586567233934992,-0.00608186356494512,0.0575434471881964,0.0869552283509362,-0.0513035432091733
"GSM5570974",0.0121857837503584,0.0617189731994942,-0.101099791514011,-0.0235978086548587,0.200017561759349,-0.00511388270766213,0.186815294414632,0.052310904071028,0.125825999073319,-0.00660231052599677,-0.0371121179612027,-0.00349573758969485,-0.0256552247157087,0.0578166081571359,-0.0466431102106482,-0.0181999387324198,-0.0787759472248772,-0.0601882250807852,0.0880567361797206
"GSM5570975",-0.0201357797257458,-0.0181434921739131,0.0406023302228804,-0.0515675160249282,-0.0686975179518596,-0.00728893375060779,-0.0361489517734123,-0.00450984966296295,-0.0737918775013307,-0.038060669005557,0.00202128725990395,-0.00970180951935614,0.0394744895633382,-0.0426134158461013,0.0828864891903963,0.0778025052073934,0.115090931613428,0.14341307261771,-0.0557299015692173
"GSM5570976",-0.00331510100009595,-0.0267339636716842,-0.0289452627152609,-0.0519792667408553,-0.0162216554026233,-0.0521956954756824,-0.0400564775702467,0.000380549696641919,-0.0347390966913063,0.055381447476323,0.0299990484229071,-0.00454602930743826,0.0961353073124761,0.0826969283189294,-0.0486284432764221,0.019681133313535,0.0394031103134209,0.0328971807185389,0.000102680965591744
"GSM5570977",-0.0113599529512094,-0.00508168084091341,0.0136626907962477,-0.0193266181448722,0.115522446282201,0.00843800162833361,-0.0205337355510975,0.0695089204864496,0.00610521894895768,-0.0574906743835803,-0.00876249257301443,-0.0061185752958516,0.0269851703060903,0.044079122162714,0.0571460871346932,0.0540040386417317,0.0354953476168349,-0.00459782160692028,-0.0325559106597901
"GSM5570978",-0.00458605127903011,-0.0242204998366806,0.079212436743806,0.0805364403684649,-0.0134514869756834,-0.0643008872654438,-0.0291303327574894,-0.0627678170895237,-0.0191973686992245,0.0655284712399432,-0.0180493214664406,-0.0106847323354683,-0.054014969361725,-0.0355892394445407,-0.0585858071548327,-0.0826642752174026,-0.0562379891958414,-0.0415349146780673,0.0184745720351894
"GSM5570979",-0.0143906526583831,-0.0131254892131641,-0.0195917785260498,-0.0579998669040427,-0.0637876339230271,-0.0269717016249969,-0.0369274872000459,0.0707018932099893,-0.0409815905761393,-0.0547273474018356,0.00322738076291156,-0.0238176953592916,0.110885156167936,0.0639501558717451,0.0806675535409941,0.123628092576592,0.0847392532433314,0.0372206748449104,-0.0372545130105724
"GSM5570980",0.000604938614096669,-0.0513895570407515,0.0230908908341594,-0.0612783893140559,-0.0714393453178948,-0.0769007082412669,-0.0611357471113154,-0.0808817081258836,-0.0896441800913092,0.0974442811167067,0.0916912775486121,-0.00564391597202343,0.0527906639211822,0.00458729486571115,-0.062921972118895,-0.0222405974805817,0.0705930889012423,0.142412562034504,-0.0262737301826215
"GSM5570981",-0.0194662609542368,-0.0120985361322457,-0.112092429365026,-0.0436746332811099,0.0940431333379333,0.0436177402999339,0.312730975125586,0.14749874688162,0.194033653561157,-0.0583488720474807,-0.0191719237294718,0.0239605924586338,0.00939747654230428,0.0773965441090515,0.0640608574184083,0.0601916221989479,-0.0572121217586147,-0.0639542318974541,-0.0261301879194362
"GSM5570982",-0.0137804496465386,-0.0335549661492369,-0.12703688501967,-0.0647909135966763,-0.0440321768330447,-0.0401533376563904,-0.00437197273497959,0.0744609328289878,0.114316209445884,0.0664105275156228,0.00286884174550444,0.0300903139091347,0.0783171164251729,0.151619386252161,-0.0721645387676345,-0.00573280719229089,-0.0667025338178591,-0.0364415948689184,-0.0104015829270525
"GSM5570983",-0.0070672603415868,0.0220962599422518,-0.16854530297993,-0.0568872763770988,-0.0519952152474347,0.185349113505625,0.0597383481202799,0.10054418455022,0.0804649008462302,-0.0544159294299499,-0.0321380179661554,0.0723675591899283,0.0209209976464815,0.0505848960195086,0.0556329041086613,0.0611490449637949,-0.0860892948974424,-0.00800206614477401,-0.00750891861904048
"GSM5570984",-0.0255965856251392,-0.0872032432984684,-0.00692418917218294,-0.0655086251876637,-0.0848380920672363,0.0402161586995579,-0.0609864297050108,-0.0513455216693428,-0.0242322120871134,0.117726027532926,0.00410933049227723,0.0712742840738413,0.0407839801975109,0.006557874274532,-0.057639158505066,-0.0327216168407065,0.0205743633537332,0.13197978680586,-0.0698934107525292
"GSM5570985",0.00261175171065253,0.0792103634539189,0.0799936066223902,0.135066403036451,-0.0153513899320148,-0.0690413070711509,0.00141502529846903,-0.0659694929441738,-0.0551347448161167,-0.073087220133454,-0.102684981103334,-0.140053245779449,-0.132632696998972,-0.119466371145156,0.0551002040493411,-0.0614324548976831,-0.0475134546484579,-0.0755022097936471,0.061430380451858
"GSM5570986",-0.0159632484906662,-0.0402537998414937,-0.140047395399928,-0.0648073205411973,-0.0604447512115443,0.0360359053319453,0.229218268998859,0.0528290247780764,0.171550105883602,0.0695332689977147,-0.0117298058614188,0.111141317830716,0.0154378922776415,0.0802861626512662,-0.0654551983126069,-0.0206070797644153,-0.0910504329058893,-0.0488785555927089,-0.0201156466069825
"GSM5570987",-0.00894759344121979,0.0302506762951058,-0.017132278654242,-0.0517837246673032,-0.0620434979618577,-0.0304244942007713,-0.0106315065651482,0.0245459102412509,-0.032973045590142,-0.0580373547972679,-0.0610596207720704,-0.0603563020054235,0.0664601423914506,-0.0107387864894779,0.0795337281569639,0.0993980518101375,0.0960329889759013,0.111707558913246,-0.0065268767526961
"GSM5570988",-0.0113216941356349,-0.0799395227768209,0.0173786170438033,-0.0504649416608093,-0.0384616680867814,-0.0159275244131029,-0.0673245069023913,-0.0385930334448827,-0.0344191459258806,0.0909857746387181,0.165663240466944,0.0543327336781677,0.0558247351370397,0.0340114528849503,-0.0595007382835746,-0.0121040516264162,0.0520281921117998,0.0514044492914417,-0.045211789928611
"GSM5570989",0.0399194018719865,0.100750755711962,0.05031044661881,0.102770260706311,0.0325829337416057,-0.0771353036097346,0.0120633915677709,-0.120868732110034,-0.0473731807031025,0.0200580721651528,-0.0842155511437769,-0.120896994487082,-0.136534384542056,-0.0936596129275158,-0.0734712976075488,-0.146001378035107,-0.079927490926669,-0.0533958269486398,0.117390970865464
"GSM5570990",-0.00339842758138824,0.0372280522386912,0.080420212862198,0.134021286155488,0.0527620425029881,-0.0712546082096215,-0.0104531632373642,-0.041725447402496,-0.0344792187938499,-0.0557833982888044,-0.09964728258552,-0.121209619772012,-0.116405636037905,-0.0854041641430116,0.0668083944556968,-0.0600804297519727,-0.0490593393411349,-0.0846803539582282,0.0217560085989373
"GSM5570991",-0.0335455249910198,-0.0241340630798545,-0.046158650888371,0.000282929106709695,-0.0492257521908099,0.249482036821767,-0.0391376309776896,-0.0161666856763865,-0.0417923056093231,-0.0258356320838831,0.00627327392921437,0.101929431950378,-0.0724052497539999,-0.115949703340509,0.0792926412271254,0.0251463238331522,-0.0501576922807335,0.113331284965094,-0.0598367846368097
"GSM5570992",-0.0259381859869513,-0.0745678005090886,0.0202253283234338,0.00282019920431788,0.0103712053317148,0.0140769358676509,-0.0423983046973898,0.0170001983295508,0.0278923318013699,0.0721479221242566,0.0379818038669752,0.0720047720313324,0.0377687700242847,0.0624986324659637,-0.0461524629609628,-0.00351093069713649,-0.0293202531269698,0.0302573471072355,-0.0457294872294385
"GSM5570993",-0.0112772800916998,-0.0221956780424315,0.0879202611532251,0.0278207237630658,-0.0270927598644608,-0.0498542038603799,-0.0483779893992929,-0.0190826838784622,-0.0674107242072027,-0.0363213976304487,-0.0532211547087699,-0.0736123783030763,0.00324909083869278,-0.0527044503353361,0.0793574152318997,0.0294748620302573,0.0343878005197373,-0.0226735533576402,-0.0350508028866686
"GSM5570994",-0.0278819416586103,-0.0866054269074425,-0.0210991041042,-0.0703259480997278,-0.0746598894166152,0.0402793303198485,-0.0364592993209883,-0.0361700068679823,0.00566246515143743,0.102546205689286,0.0413993549630434,0.0774979096216099,0.0453409363111381,0.0171105983008267,-0.0693671244396219,-0.0263083398118264,0.028538293418866,0.0748440620267954,-0.0485597879286178
"GSM5570995",0.017065591735248,0.0129286837552871,-0.134628238867237,-0.0520738723891759,-0.0405484632163898,0.0120668772103144,0.362419307305254,0.137789138609161,0.221214227866167,-0.0756067990331326,-0.0583298690693581,0.0278151936299144,0.00816700690176956,0.0434304598380788,0.052980600217039,0.0654987403367337,-0.0616386697054278,-0.0759130839315097,0.0105115567953628
"GSM5570996",0.0178016383109255,0.0151954825226207,0.0619432221605352,0.10088614852601,-0.00288216798610178,-0.0811772943706007,-0.0114146832215547,-0.0958256511472767,-0.0312125708987842,0.0495885973950858,-0.0747157521870716,-0.0776375075108465,-0.0957789522167089,-0.0617580248714049,-0.0728588561625443,-0.123914972042798,-0.0748669168518598,-0.06327410346535,0.0649598880154347
"GSM5570997",-0.0228344024665743,-0.0397466432766117,0.039824663752095,-0.0523028060684238,-0.0210656033506149,-0.0228491267932043,-0.0508543418181723,0.0098332858507458,-0.0604171922160234,-0.0406315025455501,0.0656069102630807,-0.0184390593887249,0.0459633613265758,-0.0299220918318726,0.0703211022041978,0.0842284036123754,0.122396469908458,0.076902956277725,-0.0650025058924
"GSM5570998",-0.00157168902887542,-0.0664656344133369,0.0712860783088757,0.0257305202978892,-0.0194815414570503,-0.0316556348153152,-0.0582020548140429,-0.0591003663961965,-0.0280558519437023,0.0879946007159419,0.101958602235896,0.0242682090250446,-0.00700967550883402,-0.0158240256254787,-0.0607027308345637,-0.0539180957852623,0.0184385764593384,0.0104562064023968,-0.0306099721213162
"GSM5570999",-0.00393476515419703,-0.0211717639867221,-0.144303467778786,-0.0590482081751335,-0.0580489024977445,0.0995567067731978,0.0500836962154284,0.0484873084715463,0.107221471922596,0.0554844340505263,0.0221175725800795,0.1154381426479,0.0272776183735296,0.0932906295642347,-0.069121916751286,-0.0187133029981654,-0.0921947637136364,-0.024382029656103,0.0029971008942771
"GSM5571000",-0.0285008362251847,-0.0276011449720009,0.0217541553275177,-0.0623615605252303,-0.0722009633878101,-0.0341203070754497,-0.0468076102337573,-0.00788632907627359,-0.0812777161256006,-0.0380160470588008,0.0912187755673372,-0.04565023815751,0.0652230416883293,-0.0386976526756829,0.0863094579458741,0.106035877641554,0.142119179858094,0.0407473465093149,-0.0554259197287287
"GSM5571001",-0.0132350997281487,-0.0467533037106583,0.0200763927174732,-0.0454618216596714,-0.0334835797816309,-0.0215512895893202,-0.0487861430976123,-0.034477475477301,-0.0425170453930224,0.0714611624503952,0.087905728754099,0.0312846834124656,0.0630023478161517,0.0496397311716677,-0.0645255742785731,-0.0120362885791505,0.0588499968817018,0.0193941768479456,-0.0218611443484647
"GSM5571002",-0.0331798349653105,-0.0346318758045802,0.00467099549714192,-0.000929781455862964,0.0448889627674373,0.0585385736505802,0.00898047227164107,0.0950980696523186,0.0626078113040202,-0.054152472455296,-0.0340759190478632,0.0209611289515349,0.0306959406450685,0.0312435400915162,0.063808695962406,0.0709911969342719,-0.0197606117324335,-0.0583115829759782,-0.0497990528007022
"GSM5571003",0.00913494604801024,0.0273109998756429,0.0669057235633375,0.102590058190682,-0.00797822644267707,-0.0861045911553421,-0.0242755986937214,-0.117581843637078,-0.0485564368400204,0.053406683232802,-0.0662507835243979,-0.0885221767768335,-0.115721918618177,-0.0880961592442688,-0.0639560112518754,-0.144760203499467,-0.0732601436016278,-0.0601658941188419,0.0501625823550588
"GSM5571004",-0.0138728572050299,0.0159550541354059,-0.0039591502749883,-0.011336459282736,0.060795205451237,0.0172141793789419,0.077626345098707,0.103539516025445,0.0770562853229158,-0.0707251301682659,-0.0565685689213295,-0.0122356359576578,0.0271998047395948,0.0512090263585575,0.0641031061314067,0.0684575177396969,0.0151750554941735,-0.0590308356770126,-0.0135551504461643
"GSM5571005",-0.00420088382372694,-0.00257578872266077,-0.0633932271684518,-0.0534375610499835,-0.05261127700319,-0.0628875701946457,-0.0349997798313821,-0.0562573118702109,-0.088274694978631,0.0586774947540001,-0.0388691685977917,-0.0167983634803395,0.0878886973601702,0.0091736805732878,-0.0469400950696871,0.0206923931211575,0.0154651483600998,-0.0117542116072183,0.0218883521375749
"GSM5571006",-0.0282805969215156,-0.0363831242675104,0.0203933179962862,-0.0418939095549899,0.0862231388722957,0.049950312707082,-0.00373570871470194,0.0500162601876435,-0.00333170038615122,-0.055538145880784,0.05703404811432,0.0108636384745409,0.0286910334031167,-0.0158579009274398,0.0801159982482694,0.0833222996448171,0.109409288927409,0.0592730092290301,-0.0568133128306263
"GSM5571007",-0.00730021881979957,-0.0815353615472288,0.0786743135507574,0.0494259651445897,-0.0250948910949413,-0.0480453354550584,-0.0687640734233382,-0.0818604404056555,-0.0297353933475914,0.118546132574612,0.0448671507775473,0.0370314811519187,-0.0310024282764427,-0.0358392177173812,-0.0807886167764585,-0.0961039583178668,-0.0589330934749112,-0.00209744419849204,-0.0335827684051104
"GSM5571008",-0.0144178642415979,-0.0257287340126293,-0.0144942427231793,-0.0528991426431817,0.00164844179124159,-0.0214362480320672,-0.0399087885916741,0.0505685159923747,-0.0432542585391843,-0.0446018276385409,0.00517743940515061,-0.0299889885121717,0.0746458699153172,0.0236397726243649,0.0770046404592474,0.102272426203206,0.0932920070519939,0.0391886990331708,-0.0396378141601181
"GSM5571009",-0.0224534080715526,-0.0925253285027585,0.0171966309174683,-0.0413145535533002,0.00570482926482511,-0.0210290538727075,-0.0695001192422733,-0.0506451280731901,-0.0448663162035117,0.123133851391543,0.144984562274206,0.0675438144443763,0.0308053548143438,0.0216519179865045,-0.0724310725269251,-0.0451945325318381,0.0206066012311107,0.142257474242662,-0.0658874375495775
"GSM5571010",-0.0126567546470578,-0.0781868233647423,-0.0202236789119783,-0.0640699685548256,-0.0690302870233111,-0.0543931627720188,-0.0589270480865531,-0.0449957659343087,-0.0365584645691376,0.0976749919780811,0.174750465934515,0.0134200460022703,0.0728975430786174,0.00445236291378649,-0.0411332849035718,0.00759534773295498,0.0587470839376399,0.113239580602352,-0.0642528423342628
"GSM5571011",-0.030210205150175,-0.0262954725636521,-0.0451517061522613,-0.068058373668825,-0.0735422562856855,0.130845843414474,-0.0352538335402042,0.0241747009176528,-0.0243798426726266,-0.0435166681247982,0.0884712628328985,0.0517595150096806,0.0347916786873092,-0.0343938043770029,0.0695999800052258,0.0751615071197479,0.0717158920229468,0.0583034546150498,-0.0500225412851638
"GSM5571012",-0.00285286950938428,0.0202103255989987,0.0472844470205355,0.0166738276304047,0.00851978007939706,-0.0254402342222017,-0.0163960757274204,-0.00836219999115732,-0.0458545229967823,-0.0545718284731953,-0.0127102731573713,-0.0551090005576071,-0.00240495950888542,-0.0621899996208155,0.0587080729868748,0.0422413289494725,0.0693088519872965,-0.000674376543096914,-0.00096838044000868
"GSM5571013",-0.0134743303594882,-0.0502486143098473,-0.0222643978136523,-0.0475038437026029,-0.041138662576559,0.0376280249400754,-0.0277452679165142,-0.00970594503799986,0.00286006733298392,0.0720667986054102,0.125896645152869,0.0946005478425073,0.0437771339948832,0.0408668680115928,-0.0511735883486486,0.000235326729803352,0.0143167492900929,0.0823165685919808,-0.0258980082178231
"GSM5571014",-0.0312644499007674,-0.0522391409805579,-0.0767224266177611,-0.0588204475278352,0.111116148193914,0.122162016047692,0.0503721456775033,0.119064089453393,0.102417013183857,-0.0407789753397793,0.0470956506766637,0.0641623891979753,0.0335700490496188,0.0614235722929549,0.06041085218917,0.0737867125103922,-0.0164045970079911,-0.0361226283385032,-0.0622361498215183
"GSM5571015",0.00235827245119181,-0.0656606545156984,-0.00938728555098949,-0.0622759297575561,-0.0544490223135641,0.0313709386658337,-0.0400687473439578,0.00856175846750266,0.00946953085206298,0.0742792462026921,0.0862567544019886,0.0811453916610797,0.0698457187075862,0.0690293109920249,-0.0479579333161225,0.013235996085587,0.0466914914853743,0.0559506307223063,-0.0460562050118776
"GSM5571016",4.33021599496313e-05,0.0511193628645395,0.0155173980936108,-0.0261984975149002,0.0349854327520138,0.00759791434867597,0.00455802949874323,0.0370815098858121,-0.0277107316190201,-0.0896226135056669,-0.0230877691277566,-0.0242060870777678,0.0386666712726592,-0.00346827708788663,0.0643313347188746,0.0793839568481363,0.067196644877746,-0.010274111909136,0.0227133085833463
"GSM5571017",0.0242568483426621,0.039287068573827,0.0666723170394245,0.11140719786725,0.0115048091275543,-0.0878677028960409,-0.00367452049118014,-0.122033960548447,-0.0411400819502815,0.0421782235138581,-0.0710313410160937,-0.111376210979304,-0.126149595511173,-0.0817384067291051,-0.0702446441081003,-0.144936272729009,-0.0799215885961402,-0.0477902056903581,0.107552160551849
"GSM5571018",-0.0189004241063466,-0.0152712719499428,-0.0608456013923459,-0.0715274993711822,-0.0622636384111315,-0.0631968014398784,-0.0404900144026686,-0.0711042080115196,-0.118179602132142,-0.0239698168698147,-0.00329508374664106,-0.0909453002493836,0.0319332357638743,-0.0897765028071107,0.0908799874864577,0.089419582766209,0.104173219076146,0.132796057954083,-0.0420892026883951
"GSM5571019",-0.00472096567578006,-0.0157103036978045,0.0554638220277321,0.0771255395788451,-0.0255231058451383,-0.050106907029912,-0.031141142417769,-0.0700090008275707,-0.0261943452916846,0.0649345106357986,0.0173221977475873,-0.0137929364932982,-0.0493943758777956,-0.0292899567355628,-0.0669138032057486,-0.0967050089079546,-0.0463124933369215,-0.0398895755252084,0.0311235471754896
"GSM5571020",-0.0138776583875738,-0.0166912624579751,0.00662318059935056,-0.048142179131432,-0.0454401194682735,0.0328652359403612,-0.0401300733711835,0.0373756616617403,-0.0552568151841211,-0.0464669060716121,0.0957311529209761,0.016887085723311,0.0641259077438731,0.00454793716658679,0.0767518266708888,0.0922715236119172,0.0922781335166632,0.0342872321232149,-0.0445161891424966
"GSM5571021",0.00367129368422486,-0.0222192906564166,0.0531698352971812,0.0815446854897925,0.0213352635504173,-0.0491586354852427,-0.021004253584277,-0.0657737420494983,-0.00892598889043959,0.0699617372775717,0.0249765038243943,-0.0243352006810062,-0.0660798519194181,-0.0132035528077428,-0.069780415184721,-0.107717673894622,-0.0557254139959143,-0.0430240701821784,0.0369904766647822
"GSM5571022",0.0044786959806082,-0.0159676810782549,0.067198013842758,0.102009895711787,0.00417680347971258,-0.0721735303420553,-0.0311999835648045,-0.0784583445924083,-0.0207646456889419,0.0697989575248707,-0.0163433526859269,-0.0418496607455246,-0.0789805408790059,-0.0428339816076485,-0.0546116545910632,-0.110646125667488,-0.0693364669864598,-0.0567426724281036,0.0276777713177511
"GSM5571023",-0.0229528737949787,-0.0267182010550932,0.0139196291756208,-0.0325291952596661,0.127381675621441,0.0528234294118302,-0.0346610604421545,0.0498537138446222,-0.0316734538528743,-0.0491046307993713,-0.0351157364043761,0.0192549522167272,0.0280852663013158,-6.27586357004864e-06,0.0798649072745592,0.0682137007468767,0.079851583090316,0.0381378295511566,-0.0464426901939931
"GSM5571024",0.00506777973971658,-0.00987092876109826,0.0546209077255298,0.0867369891563669,0.0231617512295168,-0.059945753501598,-0.0264312529541212,-0.0532317606262886,-0.0020293088091638,0.0654833991875127,-0.011440726847097,-0.0221682240690778,-0.0645075859580915,-0.00420510377786375,-0.0585338393046875,-0.103685953701881,-0.0692410788377899,-0.058423135251272,0.020869589545235
"GSM5571025",-0.0226945840078375,-0.0183567955854952,-0.0719563606655649,-0.0315171453921612,0.180189748320135,0.0876762577299407,0.0211678061975444,0.120104037490854,0.0811174996590667,-0.0474400127200972,-0.0231634024841795,0.0533464248061497,0.0264404485910102,0.0798719525697198,0.0581865575414431,0.0561096239556835,-0.0417969662950901,-0.0483056775557459,-0.0299163062869813
"GSM5571026",-0.0186028366039039,-0.0597846198568252,-0.000296529199797887,-0.0249445041463444,-0.029562625720336,-0.000500200505566393,-0.0502225777941431,0.00504300142544669,-0.0140643471940544,0.0641706512210355,0.0586997731074687,0.0516083594073395,0.0732745538955394,0.0573402062862525,-0.0408090600518656,0.0188433887447646,0.0117108286186013,0.0756275694715966,-0.0341162925155429
