"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,0.683888090910321,3.46998190691568,1e-10,3.33333333333333e-10,6.31578947368421e-11,2904,"tags=62%, list=15%, signal=53%","LAMC2/MMP14/ITGA2/IGFBP3/FN1/POSTN/TPM4/NTM/LAMA3/CAPG/SDC1/ECM1/ITGB5/EDIL3/INHBA/CDH11/THBS2/CTHRC1/LOXL2/VCAN/TGM2/DKK1/SPOCK1/ENO2/MXRA5/COL12A1/FLNA/COL11A1/PMEPA1/LGALS1/PLAUR/GREM1/TGFBI/COL1A1/COL5A1/BMP1/COMP/COLGALT1/COL4A2/BGN/ACTA2/TIMP1/SERPINH1/PDGFRB/SPARC/PLOD3/TPM2/DPYSL3/CALU/COL1A2/COL6A3/COL5A2/CALD1/WNT5A/COL3A1/FAP/MMP1/TGFB1/NT5E/THY1/ITGAV/PLOD1/CD59/MATN3/LUM/P3H1/MMP2/SDC4/COL4A1/FAS/CDH2/LOX/ITGB1/LRP1/LOXL1/MYL9/FBN1/COPA/ITGA5/PRRX1/TNFRSF11B/MYLK/QSOX1/SNAI2/FSTL1/LRRC15/TNFRSF12A/NNMT/ITGB3/PDLIM4/ADAM12/EFEMP2/CXCL8/COL16A1/TAGLN/VEGFA/MMP3/PMP22/SAT1/PLOD2/MFAP5/TIMP3/EMP3/SGCB/CDH6/TPM1/SFRP4/WIPF1/PTHLH/GEM/LAMC1/NID2/DST/AREG/BASP1/FSTL3/SPP1/HTRA1/COL6A2/SGCD/COL7A1/PVR/TNC"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",95,0.755764329224039,3.41555554310024,1e-10,3.33333333333333e-10,6.31578947368421e-11,4025,"tags=77%, list=20%, signal=62%","IFI27/LY6E/LGALS3BP/OAS1/SAMD9/OASL/STAT2/DDX60/ADAR/RSAD2/B2M/IFI44L/EPSTI1/IRF9/SAMD9L/IFI44/BST2/IL4R/MX1/CASP8/IFI35/TRIM21/PARP14/TRIM14/PARP12/GBP4/RIPK2/TRAFD1/PSMB9/PARP9/IFIT3/IFI30/UBE2L6/IFITM3/IRF1/USP18/PSME2/GBP2/DHX58/NMI/IFITM1/CXCL10/IL7/IRF2/EIF2AK2/MOV10/IFIT2/CD74/HELZ2/IFITM2/RTP4/ISG15/CMPK2/PSMB8/CD47/HERC6/UBA7/C1S/IFIH1/SP110/PLSCR1/TMEM140/PSME1/WARS1/PSMA3/CASP1/ISG20/TDRD7/CCRL2/OGFR/NUB1/LAP3/LPAR6"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",195,0.634993437411911,3.20885063005224,1e-10,3.33333333333333e-10,6.31578947368421e-11,4931,"tags=67%, list=25%, signal=51%","IFI27/LY6E/LGALS3BP/XAF1/OAS3/PFKP/MVP/OAS2/OASL/PML/STAT2/ZNFX1/DDX60/ADAR/RSAD2/B2M/IFI44L/EPSTI1/IRF9/SAMD9L/IFI44/MX2/RNF213/BST2/IL4R/MX1/CASP8/IFI35/TRIM21/TNFAIP6/STAT1/PARP14/TRIM14/TNFAIP2/FAS/NOD1/PARP12/GBP4/RIPK2/TRAFD1/PSMB9/IFIT3/IFI30/UBE2L6/UPP1/PELI1/IFITM3/IRF1/HIF1A/USP18/PSME2/BPGM/DHX58/MYD88/NMI/APOL6/PTPN1/CXCL10/SRI/TAPBP/TOR1B/IL7/IRF2/EIF2AK2/ICAM1/RIGI/PNP/PLA2G4A/NUP93/IFIT2/NLRC5/CD74/HELZ2/IDO1/IFITM2/RTP4/TNFSF10/NCOA3/IFIT1/ISG15/CMPK2/PSMB8/C1R/CFB/HLA-DRB1/HERC6/CFH/VAMP8/C1S/STAT3/PSMB2/IFIH1/SP110/PLSCR1/IFNAR2/PSME1/CXCL9/WARS1/PSMA3/CASP1/PIM1/CD86/LCP2/ISG20/RBCK1/TDRD7/LATS2/TNFAIP3/OGFR/SSPN/ITGB7/ZBP1/IRF5/LAP3/HLA-DQA1/CD274/AUTS2/GBP6/NFKB1/JAK2/CIITA/IL15RA/PTPN6/CDKN1A/PSMA2/SECTM1/SLAMF7/PDE4B/TMT1B/FCGR1A/ARL4A"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",200,0.590266229860455,2.99495365557944,1e-10,3.33333333333333e-10,6.31578947368421e-11,4470,"tags=55%, list=22%, signal=43%","EFNA5/JPT1/RASAL2/TPX2/CENPF/PML/MKI67/TOP2A/CCNB2/STIL/RACGAP1/PLK1/CHMP1A/KNL1/BUB1/PRC1/SMC4/CCNA2/CKS2/TGFB1/KIF23/CDC6/CDK1/NEK2/KPNA2/MCM3/SQLE/SMAD3/NUSAP1/KIF11/CHEK1/CENPE/CDC25B/AURKA/BRCA2/CDKN3/KIF4A/KIF15/H2AZ1/STMN1/DR1/CDC45/EXO1/CDC20/PLK4/HIF1A/NDC80/TOP1/UBE2C/UBE2S/PBK/HMMR/KIF2C/CCND1/TTK/DTYMK/E2F3/MAD2L1/TACC3/H2BC12/CBX1/PTTG1/DDX39A/MAPK14/KIF20B/EZH2/PRMT5/MCM2/BUB3/SLC7A5/TFDP1/KIF5B/XPO1/ORC6/PRIM2/G3BP1/SLC12A2/RAD54L/BARD1/CKS1B/TLE3/POLQ/HMGA1/CENPA/MNAT1/NUP98/SMC2/E2F4/SNRPD1/ESPL1/AURKB/SLC38A1/NUMA1/GINS2/CDK4/HUS1/MCM6/TNPO2/NOTCH2/INCENP/CDC27/MCM5/ILF3/RAD21/UCK2/SUV39H1/LMNB1/BIRC5/CCNF/POLE"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",200,0.586893622450774,2.97784137237658,1e-10,3.33333333333333e-10,6.31578947368421e-11,3147,"tags=44%, list=16%, signal=37%","LAMB3/LAMC2/CDH3/ITGA2/ITGB4/ITGA3/COL17A1/LAMA3/CAP1/MPZL2/CDH11/JUP/ADAM9/VCAN/NECTIN4/PCDH1/MPZL1/ACTN1/CTNNA1/TGFBI/BMP1/CLDN18/ACTB/ACTG1/IRS1/ACTN4/VASP/LAYN/CLDN4/MYH9/SKAP2/CNN2/ARPC2/MSN/THY1/CD276/YWHAH/RASA1/B4GALT1/MMP2/RHOF/RRAS/LIMA1/VCL/MYL12B/FSCN1/AMIGO2/ITGB1/MYL9/FBN1/TNFRSF11B/ZYX/DLG1/MDK/CTNND1/PPP2R2C/SYMPK/GNAI2/PLCG1/MMP9/THBS3/ADAM15/NF1/BAIAP2/COL16A1/SRC/ICAM1/MAPK14/CDH6/INPPL1/SHC1/TJP1/RAC2/EGFR/CLDN11/CALB2/CERCAM/NECTIN2/CLDN7/DSC3/WASL/TAOK2/PFN1/NECTIN3/ACTG2/JAM3/FYB1"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",198,0.581385960870399,2.93823534951028,1e-10,3.33333333333333e-10,6.31578947368421e-11,5043,"tags=62%, list=25%, signal=47%","ANLN/ECT2/FLNB/NET1/RASAL2/PALLD/TPX2/CENPF/FGD6/FLNA/MYO1E/TOP2A/CCNB2/SEPTIN9/CAPZB/ACTN4/RACGAP1/EZR/MYH9/PLK1/TRIO/BUB1/CTTN/PRC1/SMC4/ARHGEF2/ABR/TUBA4A/DLGAP5/KIF23/CDK1/NEK2/STK38L/NUSAP1/RASA1/CKAP5/RHOF/VCL/KIF11/RASA2/FSCN1/RALBP1/CENPE/AURKA/BRCA2/ARAP3/CDC42BPA/KIF4A/KIF15/MYO9B/CYTH2/DLG1/BCAR1/PXN/NF1/SPTAN1/NDC80/DYNC1H1/KIF2C/KNTC1/TTK/CD2AP/PLEKHG2/SPTBN1/ROCK1/KIF20B/NCK1/ARL8A/ARHGEF11/RICTOR/ARF6/KIF5B/DST/ARFGEF1/HOOK3/WASL/TAOK2/PDLIM5/ARHGDIA/CEP72/GSN/BCL2L11/BCR/ESPL1/HDAC6/NUMA1/SASS6/CLIP2/CSNK1D/KIF3C/ITSN1/ARHGAP27/NEDD9/MID1/NOTCH2/INCENP/CDC27/TIAM1/CNTROB/SUN2/ARHGEF7/ARHGEF12/MAP1S/TLK1/TUBGCP2/NIN/LMNB1/CCDC88A/DOCK2/LLGL1/BIRC5/TBCD/EPB41L2/ABI1/CLIP1/SOS1/WASF2/RHOT2/KATNB1/CLASP1/DOCK4/RANBP9"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",199,0.558263178003705,2.83516000004506,1e-10,3.33333333333333e-10,6.31578947368421e-11,5459,"tags=62%, list=27%, signal=45%","JPT1/MKI67/TOP2A/CIT/UBE2T/CCNB2/RACGAP1/PLK1/SMC4/CKS2/DLGAP5/CDK1/KPNA2/MELK/MCM3/TUBB/CHEK1/CENPE/SPAG5/CDC25B/AURKA/BRCA2/CDKN3/TRIP13/KIF4A/H2AZ1/STMN1/MCM4/ASF1B/NCAPD2/CDC20/PLK4/GINS1/CDCA8/TBRG4/PAICS/DNMT1/UBE2S/HMMR/DIAPH3/KIF2C/ATAD2/RAD51AP1/MAD2L1/TACC3/PTTG1/DDX39A/SMC6/EZH2/CNOT9/MCM2/E2F8/XPO1/HMGB2/ORC6/PRIM2/NME1/CCNE1/BARD1/CKS1B/DEPDC1/DCLRE1B/SNRPB/RFC2/HMGA1/SLBP/DCTPP1/CCP110/POLD3/MCM7/HELLS/PCNA/ESPL1/WEE1/AURKB/TP53/TFRC/TK1/CDK4/POLE4/CDKN2A/CDCA3/BRCA1/HUS1/MCM6/RRM2/RNASEH2A/ANP32E/MCM5/ILF3/TCF19/GINS3/UNG/DONSON/RAD21/POLD1/DCK/SUV39H1/LMNB1/BIRC5/NUDT21/POLE/RAN/SPC25/CDKN1A/AK2/PDS5B/CSE1L/H2AX/PMS2/CENPM/ORC2/TUBG1/CDKN1B/TIMELESS/CTPS1/PA2G4/HMGB3/IPO7/CBX5/GINS4/PRKDC/NUP205"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",200,0.514787606430762,2.61198243391172,1e-10,3.33333333333333e-10,6.31578947368421e-11,4325,"tags=50%, list=22%, signal=40%","PKM/IGFBP3/PYGB/B3GNT3/ALDOA/LDHA/HK2/SDC1/PFKP/PGK1/MET/EGLN3/SLC16A3/GALE/VCAN/ERO1A/ENO2/TGFBI/COL5A1/AK4/CAPN5/IL13RA1/TGFA/P4HA1/TPI1/NT5E/KIF20A/CDK1/AGRN/PLOD1/ENO1/GPR87/PGM2/B4GALT1/PGAM1/NSDHL/AURKA/MIF/PSMC4/STMN1/GYS1/QSOX1/IDH1/KDELR3/TFF3/G6PD/ELF3/SRD5A3/BIK/DSC2/CHPF2/GNE/GFUS/TPBG/HMMR/GLRX/VEGFA/STC1/EXT1/PLOD2/TALDO1/PYGL/B4GALT4/EGFR/B3GAT3/SLC25A13/EFNA3/GLCE/TXN/MED24/DEPDC1/CHST6/CENPA/CHST1/PKP2/GOT2/ARPP19/GPC1/IER3/GNPDA1/ISG20/RBCK1/EXT2/BPNT1/POLR3K/KIF2A/PPFIA4/CHPF/SDC3/TPST1/ANKZF1/CXCR4/RPE/DDIT4/LHPP/PPIA/ZNF292/SDHC/PAXIP1/CACNA1H"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",160,0.512233664442215,2.51466028990624,1e-10,3.33333333333333e-10,6.31578947368421e-11,4076,"tags=52%, list=20%, signal=42%","LGALS3/F2R/LEF1/PLAT/BCL2L1/ENO2/GNA15/TOP2A/ERBB2/BGN/TIMP1/PDGFRB/CTNNB1/PSEN1/IL18/TIMP2/SLC20A1/CASP8/BCL10/PAK1/LUM/MMP2/FAS/CDK2/ANXA1/PMAIP1/CDC25B/ANKH/CASP2/IL1A/H1-0/IFITM3/TGFB2/IRF1/BNIP3L/TNFRSF12A/GPX1/BAX/BIK/SQSTM1/PEA15/SPTAN1/DDIT3/CCND1/APP/BIRC3/TSPO/SAT1/TIMP3/RELA/EBP/ROCK1/BID/EREG/TNFSF10/IFNGR1/RNASEL/HMGB2/MADD/DNM1L/GPX4/DIABLO/ERBB3/GSN/BCL2L11/HSPB1/CASP1/WEE1/IER3/PPP2R5B/PTK2/ISG20/FEZ1/SC5D/BRCA1/PPT1/GADD45A/NEDD9/CAV1/CD14/XIAP/PLCB2/KRT18/RETSAT"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",199,0.482040943860165,2.44806259173919,1e-10,3.33333333333333e-10,6.31578947368421e-11,3733,"tags=43%, list=19%, signal=35%","LAMB3/TRIP10/PLAU/INHBA/BHLHE40/PMEPA1/PLAUR/B4GALT5/MXD1/KYNU/TSC22D1/IL18/EFNA1/JAG1/SERPINB8/TNFAIP6/ZC3H12A/SMAD3/CCL20/OLR1/B4GALT1/SDC4/TNFAIP2/RIPK2/TGIF1/SERPINB2/IFNGR2/LIF/IL1A/RNF19B/IRF1/ABCA1/ETS2/SQSTM1/LITAF/CD80/TNIP2/CXCL10/PFKFB3/VEGFA/PHLDA1/CCND1/ICAM1/RIGI/BIRC3/F2RL1/SAT1/IFIT2/RELA/TNIP1/TANK/FOSL2/F3/PTPRE/NFE2L2/GEM/NFAT5/AREG/SPHK1/SPSB1/EHD1/CEBPB/HES1/SLC2A3/NFKB2/MSC/IFIH1/DRAM1/NFKBIE/PDLIM5/LDLR/RELB/HBEGF/TNC/PANX1/PLK2/GFPT2/TNFRSF9/IER3/PHLDA2/SERPINE1/EDN1/CCRL2/GADD45A/TNFAIP3"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",198,0.482232738822686,2.43713019450744,1e-10,3.33333333333333e-10,6.31578947368421e-11,4097,"tags=48%, list=21%, signal=39%","SLC2A1/GAPDH/ALDOA/LDHA/HK2/SLC6A6/PGK1/EGLN3/SYTL2/ERO1A/IGFBP5/BHLHE40/TES/AK4/SERPINH1/PLK1/RIT1/SKAP2/GPI/BUB1/PRDX1/P4HA1/CYB5B/TPI1/TUBA4A/DHFR/ENO1/ELOVL6/SQLE/ACTR3/PFKL/DAPP1/AURKA/CTSC/NMT1/PSMC4/M6PR/MCM4/IDH1/IFI30/CALR/G6PD/ATP2A2/DHCR24/STIP1/SLC1A5/SQSTM1/CD9/GLRX/STC1/DDIT3/ITGB2/PNP/DHCR7/PLOD2/EBP/DDX39A/SORD/MLLT11/TBK1/SLC7A11/MCM2/PDK1/SLC7A5/ACSL3/PSME3/FADS2/SLC2A3/LGMN/ACTR2/LDLR/SCD/UBE2D3/RRP9/TXNRD1/WARS1/ACACA/PSMA4/HMGCR/HMGCS1/PSMA3/STARD4/PSMC2/TFRC/ELOVL5/GLA/SC5D/RPN1/GSK3B/PSMD14/RRM2/NFKBIB/CXCR4/DDIT4/UNG/SRD5A1"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",200,0.4726744126592,2.39830416933594,1e-10,3.33333333333333e-10,6.31578947368421e-11,3907,"tags=40%, list=20%, signal=32%","TSPAN1/ITGA2/IGFBP3/ANO1/PLEK2/PLAU/MMP11/MALL/SLPI/KCNN4/PLAT/MPZL2/INHBA/JUP/ERO1A/ETV1/PTPRR/ANXA10/PLAUR/DCBLD2/ADAM8/PRDM1/IL2RG/AVL9/CCL20/TRIB2/USH1C/ANKH/PRRX1/TFPI/LIF/HKDC1/BPGM/DUSP6/MMP9/TMEM176A/LAPTM5/GPNMB/CXCL10/CBL/GLRX/ITGB2/BIRC3/F2RL1/STRN/WNT7A/SPON1/ADAM17/EREG/PDCD1LG2/ETV4/RGS16/ITGBL1/PSMB8/FCER1G/CFB/CFH/TOR1AIP2/TMEM176B/SPP1/CSF2RA/PIGR/CTSS/MMP10/HBEGF/GALNT3/GFPT2/ST6GAL1/MMD/LCP1/TNFAIP3/HSD11B1/EPHB2/PRELID3B/ETS1/AMMECR1/FUCA1/C3AR1/ADGRA2"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",199,0.471873968582311,2.3964292353493,1e-10,3.33333333333333e-10,6.31578947368421e-11,4061,"tags=43%, list=20%, signal=35%","SLC2A1/IGFBP3/ANXA2/GAPDH/ALDOA/LDHA/HK2/SLC6A6/PFKP/PGK1/ERO1A/TGM2/PLAC8/BHLHE40/ENO2/TES/HS3ST1/PLAUR/TGFBI/COL5A1/AK4/BGN/MYH9/HK1/EFNA1/GPI/CP/P4HA1/TPI1/AMPD3/ENO1/NDRG1/PFKL/ALDOC/PGM2/SDC4/KLF7/LOX/S100A4/MIF/LXN/GYS1/KDELR3/IDS/BNIP3L/CCNG2/PRKCA/HEXA/TPBG/CAVIN3/PFKFB3/GLRX/VEGFA/STC1/DDIT3/EXT1/CAVIN1/FOSL2/ADM/F3/TMEM45A/EGFR/PDK1/EFNA3/PRDX5/SLC2A3/ATP7A/TGFB3/GPC1/KDM3A/HOXB9/PGF/WSB1/IER3/PIM1/ISG20/SERPINE1/PPFIA4/TNFAIP3/SDC3/ETS1/ANKZF1/CAV1/NAGK/CXCR4/DDIT4"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",200,0.468880864364219,2.37905607286877,1e-10,3.33333333333333e-10,6.31578947368421e-11,3885,"tags=42%, list=19%, signal=35%","MMP14/LY6E/PCDH7/CD55/INHBA/MET/CD82/AHR/GNA15/PLAUR/MXD1/DCBLD2/IRAK2/TIMP1/AXL/PSEN1/IL18/BST2/IL4R/PDPN/HRH1/OSMR/TNFAIP6/CCL20/OLR1/RIPK2/TNFSF15/ITGB8/ITGA5/IFNGR2/LIF/IL1A/PTAFR/IRF1/HIF1A/ABCA1/NOD2/ATP2A2/NMI/ITGB3/IFITM1/P2RY2/SGMS2/CXCL8/TPBG/CXCL10/SRI/TAPBP/EIF2AK2/ICAM1/EMP3/RELA/EREG/ADM/MSR1/RTP4/F3/TNFSF10/PTPRE/RGS16/ROS1/SPHK1/RGS1/CLEC5A/LDLR/PVR/HBEGF/LYN/GPR132/CXCL9/CYBB/ATP2C1/TNFRSF9/KCNJ2/RHOG/LCP2/OSM/SERPINE1/EDN1/PTGIR/CCRL2/AQP9/MARCO/ADRM1/C3AR1"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",200,0.463488227807606,2.35169435750813,1e-10,3.33333333333333e-10,6.31578947368421e-11,4243,"tags=48%, list=21%, signal=38%","MMP14/FN1/LGALS3/CD55/PLAT/ADAM9/DGKH/CTSB/PLAUR/KYNU/COL4A2/TIMP1/PSEN1/TIMP2/PPP4C/CP/CDA/CTSD/OLR1/CD59/GPD2/PDP1/MMP12/LRP1/CTSC/PSMB9/SERPINB2/ZEB1/F5/IRF1/MMP13/GNAI2/DOCK9/DUSP6/SERPINA1/C4BPB/ANXA5/CTSV/ITGAM/CASP10/S100A13/SRC/IRF2/GRB2/PLA2G4A/CTSH/CDH13/CSRP1/GATA3/CBLB/ERAP2/PRKCD/F3/GNB4/DYRK2/C1R/FCER1G/USP14/CFB/PLA2G7/EHD1/CFH/CEBPB/CD46/C1S/LGMN/PLSCR1/CTSS/C1QC/ZFPM2/ATOX1/LYN/PFN1/GNB2/C1QA/CASP1/C2/PIM1/RHOG/LCP2/APOC1/SERPINE1/CTSL/KIF2A/TNFAIP3/STX4/APOBEC3G/HSPA1A/LAP3/DPP4/GMFB/RCE1/PDGFB/DUSP5/CALM1"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",54,0.649252498306486,2.62217323245038,4.97698271270769e-10,1.55530709772115e-09,2.94689765884008e-10,5052,"tags=72%, list=25%, signal=54%","RAB31/SMURF1/PMEPA1/ID1/ACVR1/CTNNB1/BMPR2/RHOA/SLC20A1/TGFB1/LTBP2/SMAD3/BCAR3/TGIF1/IFNGR2/SKIL/NCOR2/ID3/HDAC1/PPP1CA/TGFBR1/SPTBN1/SMURF2/TJP1/WWTR1/SMAD6/UBE2D3/THBS1/SERPINE1/CDH1/JUNB/XIAP/FKBP1A/SKI/PPP1R15A/ENG/MAP3K7/ID2/SMAD7"
